--------------------Experiment_Info------------------------

Datetime: 13-17-39_04-07-2024
Characterization: Static
Mode: Auto
Experiment: Force vs. Voltage and Position
Modulation: OFF
Control sequence: A-B-C
Start position (mm): 5
End position (mm): 5
Step size (mm): 1
Start voltage (V): 2000
End voltage (V): 3000
Step voltage (V): 500

-----------------------Motor_Info--------------------------

Motor type: Motor Fiber
Motor name: 
Fiber length (mm): 
Number of fibers: 
Insulator: 

---------------------Program_Info-------------------------

Sample rate (Hz): 400

----------------------Data_Info---------------------------

state, abs. t (s), rel. t (s), F (mN), p (mm), v (mm/s), hv_set (kV), hv_vm (kV), hv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA)
A, 707725.96135240, 0.3500,  1.430869, 5.000, 3.5, 2000.0, 2000.5,  -0.5,  0.0,  0.0,  0.0
A, 707725.96385240, 0.3525,  1.423829, 5.000, 3.5, 2000.0, 2000.4,  -0.4,  0.0,  0.0,  0.0
A, 707725.96635240, 0.3550,  1.409608, 5.000, 3.5, 2000.0, 2000.2,  -0.2,  0.0,  0.0,  0.0
A, 707725.96885240, 0.3575,  1.422986, 5.000, 3.5, 2000.0, 2000.0,  -0.0,  0.0,  0.0,  0.0
A, 707725.97135240, 0.3600,  1.406283, 5.000, 3.5, 2000.0, 1999.9,   0.1,  0.0,  0.0,  0.0
A, 707725.97385240, 0.3625,  1.389919, 5.000, 3.5, 2000.0, 1999.7,   0.3,  0.0,  0.0,  0.0
A, 707725.97635240, 0.3650,  1.380371, 5.000, 3.5, 2000.0, 1999.5,   0.5,  0.0,  0.0,  0.0
A, 707725.97885240, 0.3675,  1.370823, 5.000, 3.5, 2000.0, 1999.4,   0.6,  0.0,  0.0,  0.0
A, 707725.98135240, 0.3700,  1.394252, 5.000, 3.5, 2000.0, 1999.3,   0.7,  0.0,  0.0,  0.0
A, 707725.98385240, 0.3725,  1.417902, 5.000, 3.5, 2000.0, 1999.2,   0.8,  0.0,  0.0,  0.0
A, 707725.98635240, 0.3750,  1.346059, 5.000, 3.5, 2000.0, 1999.1,   0.9,  0.0,  0.0,  0.0
A, 707725.98885240, 0.3775,  1.379146, 5.000, 3.5, 2000.0, 1999.0,   1.0,  0.0,  0.0,  0.0
A, 707725.99135240, 0.3800,  1.418699, 5.000, 3.5, 2000.0, 1998.9,   1.1,  0.0,  0.0,  0.0
