--------------------Experiment_Info------------------------

Datetime: 13-22-04_04-07-2024
Characterization: Static
Mode: Auto
Experiment: Force vs. Frequency and Position
Modulation: ON
Control sequence: <PyQt6.QtWidgets.QLabel object at 0x00000203040636B0>
Modulation frequency (Hz): 50.0
Start position (mm): 5
End position (mm): 5
Step size (mm): 1
Target voltage (V): 3000
Start mod. freq. (Hz): 50
End mod. freq. (Hz): 100
Step mod. freq. (Hz): 10

-----------------------Motor_Info--------------------------

Motor type: Motor Fiber
Motor name: 
Fiber length (mm): 
Number of fibers: 
Insulator: 

---------------------Program_Info-------------------------

Sample rate (Hz): 400

----------------------Data_Info---------------------------

state, abs. t (s), rel. t (s), F (mN), p (mm), v (mm/s), hv_set (kV), hv_vm (kV), hv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA), freq (Hz), DC (%), ph1 (deg), ph2 (deg), ph3 (deg)
A-D, 707991.11269390, 0.1925, -0.289632, 5.000, 3.5, 3000.0, 2926.6,  73.4,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.11519390, 0.1950,  0.307468, 5.000, 3.5, 3000.0, 2922.1,  77.9,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.11769390, 0.1975,  0.799234, 5.000, 3.5, 3000.0, 2917.7,  82.3,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.12019390, 0.2000,  0.703466, 5.000, 3.5, 3000.0, 2913.2,  86.8,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.12269390, 0.2025,  0.518266, 5.000, 3.5, 3000.0, 2908.8,  91.2,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.12519390, 0.2050,  0.329920, 5.000, 3.5, 3000.0, 2904.3,  95.7,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.12769390, 0.2075,  0.028895, 5.000, 3.5, 3000.0, 2899.9,  100.1,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.13019390, 0.2100, -0.317147, 5.000, 3.5, 3000.0, 2895.4,  104.6,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.13269390, 0.2125, -0.684302, 5.000, 3.5, 3000.0, 2890.9,  109.1,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.13519390, 0.2150,  0.382013, 5.000, 3.5, 3000.0, 2886.5,  113.5,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.13769390, 0.2175,  0.586514, 5.000, 3.5, 3000.0, 2882.0,  118.0,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.14019390, 0.2200,  0.586514, 5.000, 3.5, 3000.0, 2877.6,  122.4,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
